S01	Gwanghwamun Gate plaza in modern Seoul at golden misty dawn, the great seated BRONZE statue of King Sejong the Great (dark patina bronze, NOT gold), an aerial sweep gliding across the plaza toward the statue, majestic and reverent. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S02	a candle-lit Korean hanok room at night; the little Korean boy prince in hanbok gently and slowly turns a single clean, intact page of his open book with his fingertips, calm and absorbed. The page is whole and smooth, NOT torn or ripped, no crumpling. Subtle real motion only - the boy breathes softly, the candle flame flickers warmly, one page turns slowly. No sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S03	a village schoolroom (seodang); three royal boys — the two elder distracted, only little Chungnyeong sitting upright neatly copying text, the teacher smiling warmly. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S04	the little prince with slightly red tired eyes; gentle adults softly gathering his books away; the boy reaching toward a bundle of books being carried off, wistful. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S05	the little prince in a corner behind a folding paper screen, joyfully discovering ONE last book, eyes shining bright with delight. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S06	a pondside pavilion in spring; the young boy prince speaking earnestly and politely, spring breeze in his sleeves, soft water reflections. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S07	a quiet amber-lit study; the young man Chungnyeong deeply reading classics, surrounded by tall piles of books, content. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S08	a curious young man among many things — a gayageum (Korean zither), an astronomy star chart, healing herbs, counting rods — exploring each with bright curiosity. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S09	an autumn lakeside; the young man calmly watching a distant royal procession far away, maple leaves drifting, serene and detached. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S10	a kind young prince warmly and humbly greeting palace people, gently bowing to an elderly servant, warm light. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
